Top Page,0.7142857142857143,5,7
Chatting,0.4375,7,16
Questions,0.2222222222222222,4,18
Food,0.6666666666666666,4,6
People,0.6923076923076923,9,13
Personal Care,0.25,3,12
Little Words,0.8888888888888888,16,18
My Day,1.0,2,2
Action,0.8333333333333334,15,18
Describe,0.4,6,15
Time,0.75,12,16
Places,0.4375,7,16
Leisure,0.5,2,4
About Me,0.1875,3,16
WML,0.15789473684210525,3,19
Breakfast,0.35294117647058826,6,17
Lunch,0.1875,3,16
Meals,0.2,3,15
Meat,0.14285714285714285,2,14
Vegetables,0.0,0,17
Fruit,0.15789473684210525,3,19
Drinks,0.42857142857142855,6,14
Fast Food,0.45454545454545453,5,11
Snack,0.26666666666666666,4,15
Sauces,0.3333333333333333,4,12
Salad,0.0,0,11
Cooking Words,0.3333333333333333,4,12
Food Chat,0.3125,5,16
Friends,1.0,1,1
School/College/Work Mates,1.0,1,1
Support Staff,1.0,1,1
Education Staff,1.0,1,1
Job,0.0625,1,16
Family,0.5454545454545454,6,11
Health,0.38461538461538464,5,13
 Body Parts,0.2222222222222222,4,18
clothes,0.10526315789473684,2,19
Things That Help,0.17647058823529413,3,17
Toiletries,0.0,0,19
Position Words,0.7692307692307693,10,13
Spelling,0.125,2,16
Numbers,0.0,0,12
More Action Words,0.6666666666666666,24,36
Feelings,0.8421052631578947,16,19
Colour,0.125,2,16
Shapes,0.0,0,16
Opposites,0.3684210526315789,7,19
Common Things,0.5,7,14
Art Things,0.23076923076923078,3,13
Computer,0.13333333333333333,2,15
Furniture,0.10526315789473684,2,19
Toys,0.11764705882352941,2,17
Kitchen Equipment,0.1111111111111111,2,18
Money,0.5,2,4
Office,0.125,2,16
Sports,0.2222222222222222,4,18
Tools,0.06666666666666667,1,15
Transport,0.1111111111111111,2,18
Days,0.5,7,14
Months,0.0625,1,16
Special Days,0.09090909090909091,1,11
Shops,0.23076923076923078,3,13
Outside,0.5555555555555556,5,9
Home,0.4117647058823529,7,17
Pictures,0.0,0,1
Phone,0.0,0,12
MP3,0.0,0,8
DVD,0.0,0,8
TV,0.07142857142857142,1,14
About You,0.0,0,15
Potato,0.16666666666666666,1,6
drinks describe,0.09090909090909091,1,11
Juice,0.3333333333333333,3,9
smoothie,0.15384615384615385,2,13
milkshake,0.0,0,4
fizzy drinks,0.0,0,4
alcohol,0.0,0,4
Private Parts,0.09090909090909091,1,11
More Spelling,0.0,0,15
Materials,0.0,0,10
Weather,0.15384615384615385,2,13
Gardening,0.05263157894736842,1,19
Christmas,0.0,0,13
Picture,0.0,0,3
Pets,0.2,2,10
Farm Animals,0.42857142857142855,3,7
Wild Animals,0.0,0,15
Water Animals,0.1111111111111111,1,9
Birds,0.1,1,10
Insects,0.0,0,7
Pet Care,0.0,0,19
